x,y
13.0,6.0
13.5,5.5
14.0,5.0
14.5,4.899999999999999
15.0,4.899999999999999
15.5,4.899999999999999
16.0,4.899999999999999
16.5,4.899999999999999
17.0,4.899999999999999
17.5,4.899999999999999
18.0,4.899999999999999
18.5,4.899999999999999
19.0,4.899999999999999
19.5,4.899999999999999
20.0,4.899999999999999
20.200000000000003,4.5
20.200000000000003,4.0
20.200000000000003,3.5
20.200000000000003,3.0
19.900000000000002,2.6999999999999993
19.400000000000002,2.6999999999999993
18.900000000000002,2.6999999999999993
18.400000000000002,2.6999999999999993
17.900000000000002,2.6999999999999993
17.400000000000002,2.6999999999999993
16.9,2.6999999999999993
16.4,2.6999999999999993
15.9,2.6999999999999993
15.4,2.6999999999999993
14.9,2.6999999999999993
14.4,2.6999999999999993
13.9,2.6999999999999993
13.4,2.6999999999999993
12.9,2.6999999999999993
12.4,2.6999999999999993
11.9,2.6999999999999993
11.4,2.6999999999999993
10.9,2.6999999999999993
10.4,2.6999999999999993
9.9,2.6999999999999993
9.700000000000001,3.1999999999999993
9.700000000000001,3.6999999999999993
9.700000000000001,4.199999999999999
9.700000000000001,4.699999999999999
9.700000000000001,5.199999999999999
9.700000000000001,5.699999999999999
9.700000000000001,6.199999999999999
9.700000000000001,6.699999999999999
9.700000000000001,7.199999999999999
9.700000000000001,7.699999999999999
9.700000000000001,8.2
9.700000000000001,8.7
10.0,9.2
10.5,9.7
11.0,9.7
11.5,9.7
12.0,9.799999999999997
12.5,10.3
13.0,10.8
13.5,11.3
14.0,11.8
14.5,12.099999999999998
15.0,12.099999999999998
15.5,12.099999999999998
16.0,12.099999999999998
16.5,12.099999999999998
17.0,12.099999999999998
17.5,12.099999999999998
18.0,12.099999999999998
18.5,12.099999999999998
19.0,12.099999999999998
19.5,12.099999999999998
20.0,12.099999999999998
20.5,12.2
21.0,12.2
21.1,12.7
21.1,13.2
21.1,13.7
21.1,14.2
21.1,14.7
21.1,15.2
21.1,15.7
21.1,16.2
21.1,16.7
21.1,17.2
21.1,17.7
21.1,18.2
21.1,18.7
21.1,19.2
21.1,19.7
21.1,20.2
21.1,20.7
21.1,21.2
21.1,21.7
21.1,22.2
21.1,22.7
21.0,23.2
20.5,23.3
20.0,23.3
19.5,23.3
19.0,23.3
18.5,22.9
18.0,22.4
17.5,21.9
17.0,21.4
16.5,20.9
16.4,20.4
16.4,19.9
16.4,19.4
16.4,18.9
15.9,18.7
15.4,18.7
14.9,18.7
14.4,18.7
13.9,18.7
13.4,18.7
12.9,18.7
12.4,18.7
11.9,18.7
11.4,18.7
10.9,18.7
10.4,18.7
9.9,18.7
9.4,19.0
8.9,19.5
8.4,20.0
7.9,20.5
7.4,21.0
7.0,21.5
7.0,22.0
7.0,22.5
7.0,23.0
